incident_id,incident_day,wave_number,target_country,target_text,weapon_payload,ballistic_flag,drone_flag,target_energy_flag,energy_candidate_flag,lat,lon,source_osint,source_gdelt_count,gdelt_urls,firms_match_flag,firms_distance_km,firms_hotspot_date,energy_site_name,energy_site_class,energy_site_provider,energy_site_distance_km,confidence_tier,review_status
tp4_16,2026-03-04,16,Cyprus | Iraq | Israel | Kuwait | Saudi Arabia | United Arab Emirates,"HaKirya (IDF general staff and Ministry of War) Tel Aviv, strategic infrastructure Bnei Brak, military targets Beit Hakfa; Kuwait, Iraq, Saudi Arabia, UAE (hundreds of drones); Greek F-16s intercept Shahed drones near Cyprus; Turkish air defences intercept missiles over Hatay","230 attack drones, missiles",TRUE,TRUE,FALSE,TRUE,32.46,35.135,TRUE,0,,FALSE,,,HADERA FSRU TERMINAL,LNG / LPG Facility,OGIM,20.515564000512516,medium,needs_review
tp4_17,2026-03-04,17,Israel,American and Israeli targets; Israeli Ministry of Defense building (Tel Aviv); Ben Gurion Airport; 7+ advanced US radars destroyed,40+ ballistic missiles,TRUE,FALSE,FALSE,TRUE,32.07,34.77,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.38604710740675,medium,needs_review
tp4_18,2026-03-04,18,Israel | Qatar,Israeli Ministry of Security building; Ben Gurion Airport; 7+ advanced radar systems destroyed; US FPS-132 strategic radar in Qatar,Ghadr-class ballistic missiles,TRUE,FALSE,FALSE,TRUE,32.01,34.87,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,25.50719610109119,medium,needs_review
tp4_19,2026-03-05,19,Bahrain | Israel | Kuwait | Qatar,"Israeli Defense Ministry complex Tel Aviv, Ben Gurion Airport, Jerusalem; US military positions in Kuwait, Bahrain, Qatar; USS Abraham Lincoln (CVN-72); Amazon data center Bahrain","Khorramshahr-4 ballistic missiles (1-ton warheads), explosive drones",TRUE,TRUE,FALSE,TRUE,31.925,34.995,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,30.80421566184719,medium,needs_review
tp4_20,2026-03-06,20,Iran | Israel,"Tel Aviv and surrounding area, central Israel. Sirens sounded across central Israel. Eighth Iranian attack since midnight.","Kheibar Shekan ballistic missiles with cluster munition warheads (~20 submunitions per warhead, ~2.5 kg explosive each, ~8 km dispersal radius), drones",TRUE,TRUE,FALSE,TRUE,32.0853,34.7818,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,28.354243048769206,medium,needs_review
tp4_21,2026-03-06,21,Israel,Tel Aviv; combined drone swarms and Kheibar cluster missiles designed to saturate and overwhelm multi-layered air defences,"Kheibar Shekan ballistic missiles with cluster munition warheads, suicide drone swarms",TRUE,TRUE,FALSE,TRUE,32.0853,34.7818,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,28.354243048769206,medium,needs_review
tp4_22,2026-03-06,22,Israel | Qatar | United Arab Emirates,"Tel Aviv, Ben Gurion Airport, Israeli Air Force military centers in Haifa, US and Israeli positions across the Persian Gulf including Al Udeid Air Base (Qatar) and Al Dhafra Air Base (UAE). Retaliation for Minab school strike.","Khorramshahr-4 ballistic missiles (~1,500 kg warhead, Mach 16 exo-atmospheric / Mach 8 atmospheric), Kheibar Shekan ballistic missiles, Fattah hypersonic missiles, drones",TRUE,TRUE,FALSE,TRUE,32.445,34.885,TRUE,0,,FALSE,,,Hadera FSRU Terminal,Petroleum Terminal,GEM,3.0230553395153996,medium,needs_review
tp4_23,2026-03-06,23,Bahrain | Israel | Jordan | Kuwait,"US bases: Sheikh Isa (Bahrain), Juffair (Bahrain), Ali al-Salem (Kuwait), al-Azraq (Jordan). Israel: Be'er Sheva (advanced technology centers, cybersecurity facilities, military support centers).","New-generation solid- and liquid-fuel missiles (Khaibar-Shekan, Rezvan variants); drones",TRUE,TRUE,FALSE,TRUE,31.25,34.79,TRUE,0,,FALSE,,,HAIFA,Refinery,OGIM,49.29910489280879,medium,needs_review
tp4_24,2026-03-07,24,Israel,"Tel Aviv (""heart of the occupied territories""). At least 3 missile impacts confirmed in Tel Aviv per Al Jazeera. IRGC claimed strikes on strategic facilities.","Kheibar Shekan, Emad, and Ghadr ballistic missiles",TRUE,FALSE,FALSE,TRUE,32.07,34.77,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.38604710740675,medium,needs_review
tp4_25,2026-03-07,25,Israel | United Arab Emirates,"Joint US-Israeli military centers and logistical support. Al-Dhafra Air Base (UAE), Al-Minhad Air Base (UAE). IRGC claimed precision strikes on radar and satellite comms centers.","Fateh, Imad (Emad), and strategic missiles; drones",TRUE,TRUE,FALSE,TRUE,32.85,35.5,TRUE,0,,FALSE,,,,,,,medium,needs_review
tp4_26,2026-03-07,26,Iran | Israel | Kuwait | United Arab Emirates,"Targets from north to south of Israel hit with precision, including Jerusalem (cluster missile intercepted over city per Anadolu Agency/Israel National News). Sdot Micha strategic military facility (radar). Also Iran army drone strikes against US bases: Al-Minhad Air Base (UAE) and Camp Udairi (Kuwait).","New-generation Emad, Ghadr, and multi-warhead Kheibar missiles; drones",TRUE,TRUE,FALSE,FALSE,32.85,35.5,TRUE,0,,FALSE,,,,,,,low,needs_review
tp4_27,2026-03-07,27,Israel | Kuwait,Haifa oil refinery; US positions in Kuwait (Camp Udairi / Camp Buehring). Cluster warheads confirmed over Israel.,"Khorramshahr-4 heavy ballistic missiles, Fattah-2 hypersonic missiles, cluster warheads, suicide drones",TRUE,TRUE,TRUE,TRUE,32.82,35,TRUE,0,,FALSE,,,NewMed FLNG Terminal,LNG / LPG Facility,GEM,29.109054481088727,medium,needs_review
tp4_28,2026-03-08,28,Israel | Jordan,Tel Aviv; Be'er Sheva (Bir al-Sabe'); Al-Azraq Air Base (Jordan),"Qadr, Emad (700kg-1 ton warheads), Kheibar Shekan ballistic missiles (1,450 km range, terminal maneuverability)",TRUE,FALSE,FALSE,TRUE,31.66,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,22.48263822510407,medium,needs_review
tp4_29,2026-03-08,29,Israel,Tel Aviv; Naqab (Negev); US airbase in region (unspecified),New generation of missiles (type unspecified),TRUE,FALSE,FALSE,TRUE,31.66,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,22.48263822510407,medium,needs_review
tp4_30,2026-03-09,30,Israel,"US and Israeli positions; sirens in Netanya, Western Galilee, northern Israel","Khorramshahr, Fattah (hypersonic), Kheibar Shekan ballistic missiles + strategic drones",TRUE,TRUE,FALSE,TRUE,32.33,34.86,TRUE,0,,FALSE,,,Hadera FSRU Terminal,Petroleum Terminal,GEM,14.365119307230257,medium,needs_review
tp4_31,2026-03-09,31,Israel,"Five strategic US bases (incl. US Navy 5th Fleet HQ); Israeli military sites; Cluster warhead struck Yehud, Or Yehuda, Holon, Bat Yam, Rishon LeZion","Super-heavy missiles: Qadr, Khorramshahr, Kheibar Shekan ballistic missiles; IRGC Navy loitering drones and cruise missiles",TRUE,TRUE,FALSE,TRUE,32.02,34.75,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,20.51577129594941,medium,needs_review
tp4_32,2026-03-09,32,Israel,Sites in northern and central Israel,Qadr and Khorramshahr ballistic missiles targeting northern and central Israel,TRUE,FALSE,FALSE,TRUE,32.4,34.85,TRUE,0,,FALSE,,,Hadera FSRU Terminal,Petroleum Terminal,GEM,8.370455771611837,medium,needs_review
tp4_33,2026-03-09,33,Israel,Tel Aviv (10+ missile impacts reported); US Navy 5th Fleet base; Sdot Micha satellite communications center (reportedly destroyed by drones),Large numbers of solid-fuel Khaibar Shekan missiles with one-ton warheads; IRGC Aerospace Force drones,TRUE,TRUE,FALSE,TRUE,32.07,34.77,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.38604710740675,medium,needs_review
tp4_34,2026-03-09,34,,Ramle (kindergarten and infrastructure hit); Mateh Yehuda Regional Council (open area); claimed target: IDF Home Front Command HQ (Rehavam Base) in Ramle; claimed target: satellite communications station in Haela Valley near Beit Shemesh,Long-range missiles (type unspecified),TRUE,FALSE,FALSE,TRUE,31.93,34.87,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,20.06670846102726,medium,needs_review
tp4_35,2026-03-10,35,,"Yehud (construction site — primary impact, 1 killed, 2 seriously wounded); Or Yehuda; Holon; Bat Yam; Rishon Letzion (1 moderately wounded)",Ballistic missile with cluster warhead; submunitions dispersed across 6+ sites,TRUE,FALSE,FALSE,TRUE,32.03,34.89,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,28.417702608646564,medium,needs_review
tp4_36,2026-03-10,36,Qatar,Qatar — likely targeting Al Udeid Air Base and other US military facilities,17 ballistic missiles and 6 drones,TRUE,TRUE,FALSE,TRUE,25.12,51.31,TRUE,0,,FALSE,,,N/A,Other Energy Site,OGIM,9.661970593475033,medium,needs_review
tp4_37,2026-03-10,37,Israel,"Jerusalem area; Beit Shemesh area. Sirens across Jerusalem, West Bank, and southern Israel.",Ballistic missiles targeting Jerusalem/Beit Shemesh area,TRUE,FALSE,FALSE,TRUE,31.77,35.21,TRUE,0,,FALSE,,,,,,,medium,needs_review
tp4_38,2026-03-10,38,Israel,Haifa oil and gas refinery; fuel storage tanks,Drones targeting Haifa oil/gas infrastructure,FALSE,TRUE,TRUE,TRUE,32.79,35,TRUE,0,,FALSE,,,NewMed FLNG Terminal,LNG / LPG Facility,GEM,26.56597004266475,medium,needs_review
tp4_39,2026-03-10,39,Israel,Central Israel; open area near Beit Shemesh. Sirens across central Israel.,Ballistic missile(s) targeting central Israel,TRUE,FALSE,FALSE,TRUE,31.75,34.99,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,30.875745601916968,medium,needs_review
tp4_40,2026-03-10,40,Israel,"Central Israel; Jerusalem area; northern Israel. Sirens across central Israel, Jerusalem, northern Israel, and parts of the West Bank.",Ballistic missiles targeting central Israel and Jerusalem area,TRUE,FALSE,FALSE,TRUE,31.95,35,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,32.15874213666647,medium,needs_review
tp4_41,2026-03-11,41,Israel,Central Israel and northern Israel. Sirens in central and northern Israel. At least one missile reportedly reached Tel Aviv area.,"Ballistic missiles with heavy, multi-warhead projectiles targeting central and northern Israel",TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
308313d6-ebf0-40e9-9740-6326e752d700,2026-03-11,42,Bahrain | Israel | Kuwait | Qatar | Saudi Arabia | United Arab Emirates,"Central Israel from Netanya to Ashdod. Multiple salvos targeting Tel Aviv metropolitan area and surrounding cities. Also targeted US bases in Kuwait and Bahrain, and Gulf state infrastructure in Qatar, Saudi Arabia, and UAE.","Multiple salvos of ballistic missiles including Khorramshahr-4 heavy missiles with 1.5-ton warheads, Fattah hypersonic missiles, and Kheibar Shekan missiles. Cluster munition warheads confirmed on approximately half of missiles. Coordinated with Hezbollah rockets and drones from Lebanon.",TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
5da7aac6-82b8-4dc2-b14d-e66b626d7d5a,2026-03-12,43,Israel,"US Fifth Fleet base, other US military bases in the region, strategic targets deep inside Tel Aviv. Sirens across central Israel.","Khorramshahr-4 (pinpoint, twin warhead), Qadr (multi-warhead), Emad (precision), Kheibar Shekan ballistic missiles, and fleet of attack drones",TRUE,TRUE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
76f983f7-6c61-4296-9d7e-96dc38b332ff,2026-03-13,44,Bahrain | Iraq | Israel | Jordan,"Kiryat Shmona, Hadera, Haifa in northern Israel. US Fifth Fleet, US bases in Manama (Bahrain), Erbil (Iraq), and Muwaffaq Salti Air Base (Jordan).","Khorramshahr-4 (heavy BM, dual/multi-warhead), Emad (one-ton warheads), Qadr, Kheibar Shekan ballistic missiles, and attack drones",TRUE,TRUE,FALSE,TRUE,32.81,35,TRUE,0,,FALSE,,,NewMed FLNG Terminal,LNG / LPG Facility,GEM,28.243030423740795,medium,needs_review
550f7d40-03e2-4076-b7ae-90082ee7ba76,2026-03-13,45,Iraq | Israel | United Arab Emirates,"Haifa, Caesarea, Zar'it and Shlomi settlements, Holon military-industrial complex. US bases at Al Dhafra (UAE) and Iraqi Kurdistan.",Precision solid-fuel Kheibar Shekan ballistic missiles,TRUE,TRUE,FALSE,TRUE,32.81,35,TRUE,0,,FALSE,,,NewMed FLNG Terminal,LNG / LPG Facility,GEM,28.243030423740795,medium,needs_review
91a03c3c-63d0-4f0b-a6ce-0b456169460b,2026-03-13,46,Iraq | Israel,"Seven sites in Tel Aviv, two in Rishon LeZion, one in Shoham. Three US force locations: King Sultan base (SA), Victory base (IQ), base in Iraqi Kurdistan. Over ten Israeli army commander hideouts targeted per IRGC.","Khorramshahr-4, Kheibar Shekan, and Emad ballistic missiles. At least one missile carried cluster bomb warhead. IDF reports ~50% of Iranian BMs in this war carry cluster warheads.",TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
d9626f9a-10e8-47b8-97c0-7f6cceb37269,2026-03-13,47,Israel | Qatar,"Negev Desert, Beersheba, Nevatim airbase. US Al-Udeid airbase in Qatar. Sirens near Beersheba and central Israel.",Kheibar Shekan solid-fuel and Qadr liquid-fuel ballistic missiles,TRUE,FALSE,FALSE,TRUE,31.25,34.79,TRUE,0,,FALSE,,,HAIFA,Refinery,OGIM,49.29910489280879,medium,needs_review
7e5cba2b-1b80-4c4a-bfa3-f98bb2fdf415,2026-03-14,48,Israel,"Galilee, occupied Golan Heights, Haifa, Eilat (10 impact sites from fragmenting warhead), central Israel (Lod/Ness Ziona area), Jerusalem. US military bases. Hezbollah rockets at Western Galilee / Nahariya / Gronot HaGalil / Ma'alot-Tarshiha.","Solid-fuel Kheibar Shekan, liquid-fuel Qadr ballistic missiles, and attack drones. At least one missile with fragmenting/cluster warhead (Eilat strike and Lod/Ness Ziona).",TRUE,TRUE,FALSE,TRUE,29.56,34.95,TRUE,0,,FALSE,,,Eilat FLNG Terminal,LNG / LPG Facility,GEM,1.1119492664453663,medium,needs_review
398dee7d-520a-4b2e-b780-0100cf397213,2026-03-14,49,Bahrain | Qatar | United Arab Emirates,"Al-Dhafra Air Base UAE (Patriot radars, control towers, hangars), Sheikh Isa Air Base Bahrain, Al-Udeid Air Base Qatar (helicopter base).","Missiles, drones, and loitering munitions targeting US air base infrastructure including Patriot radar systems, control towers, and hangars.",TRUE,TRUE,FALSE,FALSE,24.25,54.55,TRUE,0,,FALSE,,,JARN YAPHOUR,Extraction Site,OGIM,14.639161427677227,low,needs_review
7927dee3-4466-4c6c-af2d-d8cc9b836e4d,2026-03-14,50,Bahrain | Jordan | Kuwait | United Arab Emirates,"Al-Dhafra Air Base (UAE), Fujairah (UAE), Jufair / US Fifth Fleet HQ (Bahrain), Ali Al-Salem Air Base (Kuwait), Al-Azraq Air Base (Jordan), plus early-warning radars in the region.",Precision-guided and loitering drones (IRGC Aerospace Force). Drones conducted ISR before striking targets.,FALSE,TRUE,FALSE,FALSE,24.25,54.55,TRUE,0,,FALSE,,,JARN YAPHOUR,Extraction Site,OGIM,14.639161427677227,low,needs_review
bf953f5c-379e-4857-b403-a19f392bd172,2026-03-14,51,Iran | Saudi Arabia,"Al-Kharj Air Base, Saudi Arabia. IRGC described it as hosting F-35, F-16, AWACS (E-3 Sentry), and aerial refueling aircraft used in operations against Iran.",Combined launch of solid-fuel and liquid-fuel ballistic missiles.,TRUE,FALSE,FALSE,FALSE,24.06,47.58,TRUE,0,,FALSE,,,ABU SHIDAD,Extraction Site,OGIM,43.66439184117002,low,needs_review
9cac3d41-f236-43c2-9c55-9c34563c1708,2026-03-15,52,Iraq | Israel | Kuwait,"Harir Air Base (Iraq), Ali Al-Salem Air Base (Kuwait), Camp Arifjan (Kuwait), Tel Aviv industrial zones.",Heavy missiles targeting Israeli industrial areas; missiles and/or drones targeting US troop assembly centers.,TRUE,FALSE,FALSE,TRUE,32.09,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,28.793624985117074,medium,needs_review
bee81191-9d32-4a38-a60b-a7d0a203a246,2026-03-15,53,Israel | United Arab Emirates,"Al-Dhafra Air Base (UAE), Israeli regional command-and-control centers, Israeli home-front management facilities.","10 Fattah hypersonic missiles, Ghadr liquid-fuel missiles, and explosive drones.",TRUE,TRUE,FALSE,FALSE,24.25,54.55,TRUE,0,,FALSE,,,JARN YAPHOUR,Extraction Site,OGIM,14.639161427677227,low,needs_review
fcb53717-4a6b-4720-b882-442bf837660b,2026-03-15,54,Israel,"Israeli decision-making and command centers, military and defense infrastructure, troop concentrations in occupied territories.","Sejjil solid-fuel ballistic missiles (first TP4 use), Khorramshahr super-heavy missiles (2-ton warhead), Kheibar-shekan, Qadr, and Emad ballistic missiles.",TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
tp4_55,2026-03-15,55,Israel,"Israel (general). Small number of missiles, likely intercepted. No injuries.",Ballistic missiles targeting Israel. Specific type unconfirmed. Small number launched.,TRUE,FALSE,FALSE,TRUE,31.5,34.8,TRUE,0,,FALSE,,,HAIFA,Refinery,OGIM,30.0230914777035,medium,needs_review
tp4_56,2026-03-16,56,Israel,"Beersheba and southern Israel. Sirens sounded in Beersheba. Small number of missiles, likely intercepted. No injuries.",Ballistic missiles targeting Israel. Specific type unconfirmed. Small number launched.,TRUE,FALSE,FALSE,TRUE,31.25,34.79,TRUE,0,,FALSE,,,HAIFA,Refinery,OGIM,49.29910489280879,medium,needs_review
tp4_57,2026-03-16,57,Israel,Central Israel. Home damaged by cluster bomb submunitions. Multiple impact sites across central Israel.,Ballistic missiles with cluster munition warhead. Specific missile type unconfirmed but consistent with prior cluster warhead use on Khorramshahr-4 or Emad variants.,TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
tp4_58,2026-03-16,58,Israel,"Central and southern Israel. Shrapnel impacts in Rishon Lezion, Ramle, Bnei Brak. Homes damaged in Tel Aviv-Yafo, Beit Shemesh, Ramat Gan, Bnei Brak, and Shoham (serious home damage). Route 431 partially closed.",Ballistic missiles with cluster munition warheads. Shrapnel and submunitions struck residential areas in central Israel.,TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
tp4_59,2026-03-16,59,Israel,Central Israel and Jerusalem. One casualty from glass shards caused by missile impact or interception debris. One man in Jerusalem lightly wounded by missile fragment.,Ballistic missiles. Specific type unconfirmed.,TRUE,FALSE,FALSE,TRUE,32.07,34.78,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.695209561642006,medium,needs_review
tp4_60,2026-03-16,60,Israel,"Central Israel and Jerusalem area. Shrapnel fell near the Knesset, National Library, and Church of the Holy Sepulchre in Jerusalem. Large intercepted missile chunk damaged a home in East Jerusalem. 10 locations damaged across central Israel: 7 in Rishon Lezion, plus Lod, Shoham, and Highway 431. Interceptor debris fell in Safed (northern Israel).",Ballistic missiles with cluster munition warheads. Specific missile type unconfirmed but consistent with Emad/Ghadr class based on trajectory and engagement by Arrow systems.,TRUE,FALSE,FALSE,TRUE,31.78,35.22,TRUE,0,,FALSE,,,,,,,medium,needs_review
tp4_61,2026-03-16,61,Iraq | Qatar | Saudi Arabia | United Arab Emirates,"UAE: 6 ballistic missiles and 21 drones intercepted. Fujairah petroleum industrial zone hit by drone (fire, oil loading suspended). Abu Dhabi Al Bahyah area (1 civilian killed by missile strike on car). Qatar: two waves of missiles intercepted over Doha (~12:30 and 13:00 UTC). Saudi Arabia: 64 drones intercepted (61 Eastern Province, 3 Riyadh). Iraq: drone near US embassy Baghdad intercepted; Jurf al-Sakhar attack (1 federal police officer, 2 PMF members injured).",Ballistic missiles and drones. 6 ballistic missiles and 21 drones intercepted by UAE. 64 drones intercepted by Saudi Arabia. Two waves of missiles at Qatar. Drone near US embassy in Baghdad.,TRUE,TRUE,TRUE,TRUE,25.13,56.33,TRUE,0,,FALSE,,,N/A,Other Energy Site,OGIM,5.7285404297674525,medium,needs_review
tp4_62,2026-03-16,62,Israel,Central Israel and West Bank. Small number of ballistic missiles likely intercepted or struck open areas. No injuries.,Ballistic missiles targeting Israel. Specific type unconfirmed. Small number launched.,TRUE,FALSE,FALSE,TRUE,32,34.9,TRUE,0,,FALSE,,,ASHDOD,Refinery,OGIM,26.814676205292354,medium,needs_review
